xmin	xmax	clickSelects	PANEL	group
0.5	1.5	linear.model 1	1	1
10.5	11.5	linear.model 11	1	4
20.5	21.5	linear.model 21	1	15
30.5	31.5	linear.model 31	1	26
40.5	41.5	linear.model 41	1	37
50.5	51.5	linear.model 51	1	48
60.5	61.5	linear.model 61	1	59
70.5	71.5	linear.model 71	1	70
80.5	81.5	linear.model 81	1	81
90.5	91.5	linear.model 91	1	92
100.5	101.5	linear.model 101	1	3
111.5	112.5	linear.model 112	1	5
121.5	122.5	linear.model 122	1	6
131.5	132.5	linear.model 132	1	7
141.5	142.5	linear.model 142	1	8
151.5	152.5	linear.model 152	1	9
161.5	162.5	linear.model 162	1	10
171.5	172.5	linear.model 172	1	11
181.5	182.5	linear.model 182	1	12
191.5	192.5	linear.model 192	1	13
201.5	202.5	linear.model 202	1	14
211.5	212.5	linear.model 212	1	16
222.5	223.5	linear.model 223	1	17
232.5	233.5	linear.model 233	1	18
242.5	243.5	linear.model 243	1	19
252.5	253.5	linear.model 253	1	20
262.5	263.5	linear.model 263	1	21
272.5	273.5	linear.model 273	1	22
282.5	283.5	linear.model 283	1	23
292.5	293.5	linear.model 293	1	24
302.5	303.5	linear.model 303	1	25
312.5	313.5	linear.model 313	1	27
322.5	323.5	linear.model 323	1	28
333.5	334.5	linear.model 334	1	29
343.5	344.5	linear.model 344	1	30
353.5	354.5	linear.model 354	1	31
363.5	364.5	linear.model 364	1	32
373.5	374.5	linear.model 374	1	33
383.5	384.5	linear.model 384	1	34
393.5	394.5	linear.model 394	1	35
403.5	404.5	linear.model 404	1	36
413.5	414.5	linear.model 414	1	38
423.5	424.5	linear.model 424	1	39
433.5	434.5	linear.model 434	1	40
444.5	445.5	linear.model 445	1	41
454.5	455.5	linear.model 455	1	42
464.5	465.5	linear.model 465	1	43
474.5	475.5	linear.model 475	1	44
484.5	485.5	linear.model 485	1	45
494.5	495.5	linear.model 495	1	46
504.5	505.5	linear.model 505	1	47
514.5	515.5	linear.model 515	1	49
524.5	525.5	linear.model 525	1	50
534.5	535.5	linear.model 535	1	51
544.5	545.5	linear.model 545	1	52
555.5	556.5	linear.model 556	1	53
565.5	566.5	linear.model 566	1	54
575.5	576.5	linear.model 576	1	55
585.5	586.5	linear.model 586	1	56
595.5	596.5	linear.model 596	1	57
605.5	606.5	linear.model 606	1	58
615.5	616.5	linear.model 616	1	60
625.5	626.5	linear.model 626	1	61
635.5	636.5	linear.model 636	1	62
645.5	646.5	linear.model 646	1	63
655.5	656.5	linear.model 656	1	64
666.5	667.5	linear.model 667	1	65
676.5	677.5	linear.model 677	1	66
686.5	687.5	linear.model 687	1	67
696.5	697.5	linear.model 697	1	68
706.5	707.5	linear.model 707	1	69
716.5	717.5	linear.model 717	1	71
726.5	727.5	linear.model 727	1	72
736.5	737.5	linear.model 737	1	73
746.5	747.5	linear.model 747	1	74
756.5	757.5	linear.model 757	1	75
766.5	767.5	linear.model 767	1	76
777.5	778.5	linear.model 778	1	77
787.5	788.5	linear.model 788	1	78
797.5	798.5	linear.model 798	1	79
807.5	808.5	linear.model 808	1	80
817.5	818.5	linear.model 818	1	82
827.5	828.5	linear.model 828	1	83
837.5	838.5	linear.model 838	1	84
847.5	848.5	linear.model 848	1	85
857.5	858.5	linear.model 858	1	86
867.5	868.5	linear.model 868	1	87
877.5	878.5	linear.model 878	1	88
888.5	889.5	linear.model 889	1	89
898.5	899.5	linear.model 899	1	90
908.5	909.5	linear.model 909	1	91
918.5	919.5	linear.model 919	1	93
928.5	929.5	linear.model 929	1	94
938.5	939.5	linear.model 939	1	95
948.5	949.5	linear.model 949	1	96
958.5	959.5	linear.model 959	1	97
968.5	969.5	linear.model 969	1	98
978.5	979.5	linear.model 979	1	99
988.5	989.5	linear.model 989	1	100
999.5	1000.5	linear.model 1000	1	2
0.5	1.5	neural.network 1	2	101
10.5	11.5	neural.network 11	2	104
20.5	21.5	neural.network 21	2	115
30.5	31.5	neural.network 31	2	126
40.5	41.5	neural.network 41	2	137
50.5	51.5	neural.network 51	2	148
60.5	61.5	neural.network 61	2	159
70.5	71.5	neural.network 71	2	170
80.5	81.5	neural.network 81	2	181
90.5	91.5	neural.network 91	2	192
100.5	101.5	neural.network 101	2	103
111.5	112.5	neural.network 112	2	105
121.5	122.5	neural.network 122	2	106
131.5	132.5	neural.network 132	2	107
141.5	142.5	neural.network 142	2	108
151.5	152.5	neural.network 152	2	109
161.5	162.5	neural.network 162	2	110
171.5	172.5	neural.network 172	2	111
181.5	182.5	neural.network 182	2	112
191.5	192.5	neural.network 192	2	113
201.5	202.5	neural.network 202	2	114
211.5	212.5	neural.network 212	2	116
222.5	223.5	neural.network 223	2	117
