group	fill
1	#ABA1D1
2	#B2A9D5
3	#B8B0D8
4	#BFB7DC
5	#C6BEE0
6	#CCC6E4
7	#D3CDE7
8	#DAD5EB
9	#E1DCEF
10	#E7E4F2
11	#EEECF6
12	#F5F3FA
13	#FCFBFD
14	#FDFBFB
15	#FAF3F2
16	#F6EBE9
17	#F2E2E0
18	#EFDAD8
19	#EBD2CF
20	#E7CAC7
21	#E3C2BE
22	#DFBBB6
23	#DBB3AE
24	#D7ABA5
25	#D2A39D
26	#CE9B95
27	#CA948D
28	#C58C85
29	#C1847D
30	#BC7D76
31	#A79ECF
32	#AEA5D3
33	#B5ACD7
34	#BBB3DA
35	#C2BBDE
36	#C9C2E2
37	#D0C9E5
38	#D6D1E9
39	#DDD8ED
40	#E4E0F0
41	#EAE8F4
42	#F1EFF8
43	#F8F7FB
44	#FFFFFF
45	#FCF7F6
46	#F8EFEE
47	#F4E7E5
48	#F1DFDC
49	#EDD7D4
50	#E9CFCB
51	#E5C7C3
52	#E1BFBA
53	#DDB7B2
54	#D9AFAA
55	#D5A7A2
56	#D1A09A
57	#CC9891
58	#C8908A
59	#C38882
60	#BF817A
61	#A49ACD
62	#AAA1D1
63	#B1A8D5
64	#B8AFD8
65	#BFB7DC
66	#C5BEE0
67	#CCC5E3
68	#D3CDE7
69	#D9D4EB
70	#E0DCEE
71	#E7E4F2
72	#EEEBF6
73	#F4F3F9
74	#FBFBFD
75	#FDFBFB
76	#FAF3F2
77	#F6EBEA
78	#F3E3E1
79	#EFDBD8
80	#EBD3D0
81	#E7CBC7
82	#E3C3BF
83	#DFBBB6
84	#DBB3AE
85	#D7ABA6
86	#D3A49E
87	#CE9C96
88	#CA948E
89	#C68D86
90	#C1857E
91	#A096CB
92	#A79DCF
93	#ADA4D3
94	#B4ABD6
95	#BBB3DA
96	#C2BADE
97	#C8C1E1
98	#CFC9E5
99	#D6D0E9
100	#DDD8EC
101	#E3DFF0
102	#EAE7F4
103	#F1EFF7
104	#F8F6FB
105	#FEFEFF
106	#FCF8F7
107	#F8EFEE
108	#F5E7E6
109	#F1DFDD
110	#EDD7D4
111	#E9CFCC
112	#E5C7C3
113	#E1BFBB
114	#DDB7B3
115	#D9B0AA
116	#D5A8A2
117	#D1A09A
118	#CC9892
119	#C8918A
120	#C48982
121	#9C92C9
122	#A399CD
123	#AAA0D1
124	#B1A8D4
125	#B7AFD8
126	#BEB6DC
127	#C5BEDF
128	#CCC5E3
129	#D2CCE7
130	#D9D4EA
131	#E0DBEE
132	#E6E3F2
133	#EDEBF5
134	#F4F2F9
135	#FBFAFD
136	#FEFCFC
137	#FAF4F3
138	#F7ECEA
139	#F3E4E2
140	#EFDBD9
141	#EBD3D0
142	#E7CBC8
143	#E3C4BF
144	#DFBCB7
145	#DBB4AF
146	#D7ACA7
147	#D3A49E
148	#CF9C96
149	#CA958E
150	#C68D86
151	#998EC7
152	#A095CB
153	#A69DCF
154	#ADA4D2
155	#B4ABD6
156	#BBB2DA
157	#C1BADD
158	#C8C1E1
159	#CFC8E5
160	#D5D0E8
161	#DCD7EC
162	#E3DFF0
163	#EAE7F3
164	#F0EEF7
165	#F7F6FB
166	#FEFEFE
167	#FCF8F8
168	#F8F0EF
169	#F5E8E6
170	#F1E0DD
171	#EDD8D5
172	#EAD0CC
173	#E6C8C4
174	#E2C0BB
175	#DEB8B3
176	#D9B0AB
177	#D5A8A3
178	#D1A19B
179	#CD9993
180	#C8918B
181	#958BC5
182	#9C92C9
183	#A399CD
184	#A9A0D0
185	#B0A7D4
186	#B7AED8
187	#BEB6DB
188	#C4BDDF
189	#CBC4E3
190	#D2CCE6
191	#D9D3EA
192	#DFDBEE
193	#E6E3F1
194	#EDEAF5
195	#F4F2F9
196	#FAFAFC
197	#FEFDFC
198	#FAF4F4
199	#F7ECEB
200	#F3E4E2
201	#EFDCD9
202	#ECD4D1
203	#E8CCC8
204	#E4C4C0
205	#E0BCB8
206	#DCB4AF
207	#D8ACA7
208	#D3A59F
209	#CF9D97
210	#CB958F
211	#9187C3
212	#988EC7
213	#9F95CB
214	#A69CCE
215	#ADA3D2
216	#B3ABD6
217	#BAB2D9
218	#C1B9DD
219	#C8C0E1
220	#CEC8E5
221	#D5CFE8
222	#DCD7EC
223	#E2DEF0
224	#E9E6F3
225	#F0EEF7
226	#F7F5FA
227	#FDFDFE
228	#FCF9F8
229	#F9F1EF
230	#F5E8E7
231	#F1E0DE
232	#EED8D5
233	#EAD0CD
234	#E6C8C4
235	#E2C0BC
236	#DEB8B4
237	#DAB1AB
238	#D6A9A3
239	#D1A19B
240	#CD9993
241	#8E83C1
242	#958AC5
243	#9B91C9
244	#A298CC
245	#A99FD0
246	#B0A7D4
247	#B6AED8
248	#BDB5DB
249	#C4BDDF
250	#CBC4E3
251	#D1CBE6
252	#D8D3EA
253	#DFDAEE
254	#E6E2F1
255	#ECEAF5
256	#F3F1F9
257	#FAF9FC
258	#FEFDFD
259	#FBF5F4
260	#F7EDEB
261	#F3E5E3
262	#F0DDDA
263	#ECD5D1
264	#E8CDC9
265	#E4C5C1
266	#E0BDB8
267	#DCB5B0
268	#D8ADA8
269	#D4A59F
270	#CF9D97
271	#8A80BF
272	#9187C3
273	#988EC7
274	#9F95CB
275	#A59CCE
276	#ACA3D2
277	#B3AAD6
278	#BAB1D9
279	#C0B9DD
280	#C7C0E1
281	#CEC7E4
282	#D5CFE8
283	#DBD6EC
284	#E2DEEF
285	#E9E6F3
