x	y	label	showSelected1	PANEL	group
0.5	1.1	loss=1.2797, 29/50 errors=58%	neural.network 1	1	1001
0.5	1.1	loss=1.1283, 19/50 errors=38%	neural.network 2	1	1113
0.5	1.1	loss=1.0377, 32/50 errors=64%	neural.network 3	1	1224
0.5	1.1	loss=1.1803, 17/50 errors=34%	neural.network 4	1	1335
0.5	1.1	loss=0.9695, 35/50 errors=70%	neural.network 5	1	1446
0.5	1.1	loss=1.2774, 17/50 errors=34%	neural.network 6	1	1557
0.5	1.1	loss=0.6784, 22/50 errors=44%	neural.network 7	1	1668
0.5	1.1	loss=0.8675, 17/50 errors=34%	neural.network 8	1	1779
0.5	1.1	loss=0.748, 25/50 errors=50%	neural.network 9	1	1890
0.5	1.1	loss=0.9915, 17/50 errors=34%	neural.network 10	1	1002
0.5	1.1	loss=0.5753, 18/50 errors=36%	neural.network 11	1	1014
0.5	1.1	loss=0.7103, 17/50 errors=34%	neural.network 12	1	1025
0.5	1.1	loss=0.5933, 19/50 errors=38%	neural.network 13	1	1036
0.5	1.1	loss=0.6981, 17/50 errors=34%	neural.network 14	1	1047
0.5	1.1	loss=0.546, 17/50 errors=34%	neural.network 15	1	1058
0.5	1.1	loss=0.6051, 17/50 errors=34%	neural.network 16	1	1069
0.5	1.1	loss=0.5088, 16/50 errors=32%	neural.network 17	1	1080
0.5	1.1	loss=0.5417, 17/50 errors=34%	neural.network 18	1	1091
0.5	1.1	loss=0.4695, 14/50 errors=28%	neural.network 19	1	1102
0.5	1.1	loss=0.4804, 17/50 errors=34%	neural.network 20	1	1114
0.5	1.1	loss=0.4335, 11/50 errors=22%	neural.network 21	1	1125
0.5	1.1	loss=0.4303, 16/50 errors=32%	neural.network 22	1	1136
0.5	1.1	loss=0.4001, 12/50 errors=24%	neural.network 23	1	1147
0.5	1.1	loss=0.3921, 15/50 errors=30%	neural.network 24	1	1158
0.5	1.1	loss=0.3729, 8/50 errors=16%	neural.network 25	1	1169
0.5	1.1	loss=0.3642, 12/50 errors=24%	neural.network 26	1	1180
0.5	1.1	loss=0.3531, 7/50 errors=14%	neural.network 27	1	1191
0.5	1.1	loss=0.3464, 8/50 errors=16%	neural.network 28	1	1202
0.5	1.1	loss=0.3398, 7/50 errors=14%	neural.network 29	1	1213
0.5	1.1	loss=0.3334, 7/50 errors=14%	neural.network 30	1	1225
0.5	1.1	loss=0.3282, 7/50 errors=14%	neural.network 31	1	1236
0.5	1.1	loss=0.3233, 6/50 errors=12%	neural.network 32	1	1247
0.5	1.1	loss=0.3179, 7/50 errors=14%	neural.network 33	1	1258
0.5	1.1	loss=0.3128, 7/50 errors=14%	neural.network 34	1	1269
0.5	1.1	loss=0.3081, 5/50 errors=10%	neural.network 35	1	1280
0.5	1.1	loss=0.3041, 7/50 errors=14%	neural.network 36	1	1291
0.5	1.1	loss=0.2996, 5/50 errors=10%	neural.network 37	1	1302
0.5	1.1	loss=0.296, 6/50 errors=12%	neural.network 38	1	1313
0.5	1.1	loss=0.2924, 5/50 errors=10%	neural.network 39	1	1324
0.5	1.1	loss=0.2892, 6/50 errors=12%	neural.network 40	1	1336
0.5	1.1	loss=0.2864, 5/50 errors=10%	neural.network 41	1	1347
0.5	1.1	loss=0.2836, 5/50 errors=10%	neural.network 42	1	1358
0.5	1.1	loss=0.2809, 4/50 errors=8%	neural.network 43	1	1369
0.5	1.1	loss=0.2785, 3/50 errors=6%	neural.network 44	1	1380
0.5	1.1	loss=0.2762, 4/50 errors=8%	neural.network 45	1	1391
0.5	1.1	loss=0.274, 3/50 errors=6%	neural.network 46	1	1402
0.5	1.1	loss=0.2721, 4/50 errors=8%	neural.network 47	1	1413
0.5	1.1	loss=0.2702, 3/50 errors=6%	neural.network 48	1	1424
0.5	1.1	loss=0.2684, 3/50 errors=6%	neural.network 49	1	1435
0.5	1.1	loss=0.2667, 3/50 errors=6%	neural.network 50	1	1447
0.5	1.1	loss=0.2651, 3/50 errors=6%	neural.network 51	1	1458
0.5	1.1	loss=0.2636, 3/50 errors=6%	neural.network 52	1	1469
0.5	1.1	loss=0.2622, 3/50 errors=6%	neural.network 53	1	1480
0.5	1.1	loss=0.2608, 3/50 errors=6%	neural.network 54	1	1491
0.5	1.1	loss=0.2594, 3/50 errors=6%	neural.network 55	1	1502
0.5	1.1	loss=0.2581, 3/50 errors=6%	neural.network 56	1	1513
0.5	1.1	loss=0.2569, 3/50 errors=6%	neural.network 57	1	1524
0.5	1.1	loss=0.2556, 3/50 errors=6%	neural.network 58	1	1535
0.5	1.1	loss=0.2543, 3/50 errors=6%	neural.network 59	1	1546
0.5	1.1	loss=0.2529, 3/50 errors=6%	neural.network 60	1	1558
0.5	1.1	loss=0.2516, 3/50 errors=6%	neural.network 61	1	1569
