group	colour	showSelected3
1	#FFFFFF	correct
2	#FFFFFF	correct
3	#000000	error
4	#000000	error
5	#000000	error
6	#000000	error
7	#FFFFFF	correct
8	#000000	error
9	#000000	error
10	#000000	error
11	#FFFFFF	correct
12	#000000	error
13	#FFFFFF	correct
14	#000000	error
15	#FFFFFF	correct
16	#000000	error
17	#000000	error
18	#FFFFFF	correct
19	#000000	error
20	#FFFFFF	correct
21	#000000	error
22	#000000	error
23	#000000	error
24	#FFFFFF	correct
25	#000000	error
26	#000000	error
27	#FFFFFF	correct
28	#000000	error
29	#000000	error
30	#000000	error
31	#000000	error
32	#FFFFFF	correct
33	#FFFFFF	correct
34	#000000	error
35	#000000	error
36	#FFFFFF	correct
37	#FFFFFF	correct
38	#FFFFFF	correct
39	#FFFFFF	correct
40	#FFFFFF	correct
41	#000000	error
42	#FFFFFF	correct
43	#FFFFFF	correct
44	#000000	error
45	#000000	error
46	#000000	error
47	#FFFFFF	correct
48	#000000	error
49	#000000	error
50	#FFFFFF	correct
51	#FFFFFF	correct
52	#000000	error
53	#FFFFFF	correct
54	#000000	error
55	#000000	error
56	#000000	error
57	#000000	error
58	#000000	error
59	#000000	error
60	#FFFFFF	correct
61	#FFFFFF	correct
62	#000000	error
63	#FFFFFF	correct
64	#000000	error
65	#000000	error
66	#FFFFFF	correct
67	#000000	error
68	#FFFFFF	correct
69	#000000	error
70	#FFFFFF	correct
71	#000000	error
72	#000000	error
73	#FFFFFF	correct
74	#000000	error
75	#000000	error
76	#FFFFFF	correct
77	#FFFFFF	correct
78	#000000	error
79	#FFFFFF	correct
80	#000000	error
81	#000000	error
82	#FFFFFF	correct
83	#000000	error
84	#000000	error
85	#000000	error
86	#FFFFFF	correct
87	#000000	error
88	#FFFFFF	correct
89	#000000	error
90	#000000	error
91	#FFFFFF	correct
92	#000000	error
93	#FFFFFF	correct
94	#000000	error
95	#000000	error
96	#FFFFFF	correct
97	#000000	error
98	#000000	error
99	#000000	error
100	#000000	error
